epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,0.00013926179963164032,,,,,
0,19,,0.00010004090290749446,,,,,
0,29,,8.581291331211105e-05,,,,,
0,39,,8.858301589498296e-05,,,,,
0,49,,8.315306331496686e-05,,,,,
0,59,,8.186111517716199e-05,,,,,
0,69,,7.71055492805317e-05,,,,,
0,79,,7.228273170767352e-05,,,,,
0,89,,6.95268900017254e-05,,,,,
0,99,,8.289889228763059e-05,,,,,
0,109,,7.729799835942686e-05,,,,,
0,119,,7.824455678928643e-05,,,,,
0,129,,7.461312634404749e-05,,,,,
0,139,,7.522864325437695e-05,,,,,
0,149,,7.567546708742157e-05,,,,,
0,159,,7.218097744043916e-05,,,,,
0,169,,7.671384082641453e-05,,,,,
0,179,,7.986484706634656e-05,,,,,
0,189,,7.53242420614697e-05,,,,,
0,199,,8.447668369626626e-05,,,,,
0,209,,7.684073352720588e-05,,,,,
0,219,,8.517647802364081e-05,,,,,
0,229,,7.643256685696542e-05,,,,,
0,239,,7.770926458761096e-05,,,,,
0,249,,7.673540676478297e-05,,,,,
0,259,,7.400112372124568e-05,,,,,
0,269,,6.675941403955221e-05,,,,,
0,279,,7.401383481919765e-05,,,,,
0,289,,7.878475298639387e-05,,,,,
0,299,,8.216616697609425e-05,,,,,
0,309,,6.947963265702128e-05,,,,,
0,319,,8.087483001872897e-05,,,,,
0,329,,8.954099757829681e-05,,,,,
0,339,,7.795920828357339e-05,,,,,
0,349,,7.754211401334032e-05,,,,,
0,359,,7.502995140384883e-05,,,,,
0,369,,8.041030378080904e-05,,,,,
0,379,,8.293452265206724e-05,,,,,
0,389,,8.379611244890839e-05,,,,,
0,399,,8.101433923002332e-05,,,,,
0,409,,7.575121708214283e-05,,,,,
0,419,,8.477687515551224e-05,,,,,
0,429,,7.710960926488042e-05,,,,,
0,439,,7.450250996043906e-05,,,,,
0,449,,8.151637302944437e-05,,,,,
0,459,,7.433253631461412e-05,,,,,
0,469,,7.476840255549178e-05,,,,,
0,479,,8.032711048144847e-05,,,,,
0,489,,7.621630356879905e-05,,,,,
0,499,,7.607712177559733e-05,,,,,
0,509,,8.507391612511128e-05,,,,,
0,519,,7.836055738152936e-05,,,,,
0,529,,8.365959365619346e-05,,,,,
0,539,,7.779488805681467e-05,,,,,
0,549,,8.464849088340998e-05,,,,,
0,559,,7.175139762694016e-05,,,,,
0,569,,8.020263339858502e-05,,,,,
0,579,,7.493997691199183e-05,,,,,
0,589,,7.106983684934676e-05,,,,,
0,599,,7.602333789691329e-05,,,,,
0,609,,7.93203798821196e-05,,,,,
0,619,,7.991546590346843e-05,,,,,
0,629,,7.74887521401979e-05,,,,,
0,639,,8.74520483193919e-05,,,,,
0,649,,8.144416642608121e-05,,,,,
0,659,,8.276641892734915e-05,,,,,
0,669,,7.639790419489145e-05,,,,,
0,679,,7.14850248186849e-05,,,,,
0,689,,7.552157330792397e-05,,,,,
0,699,,7.348862709477544e-05,,,,,
0,709,,8.496121154166758e-05,,,,,
0,719,,7.922059739939868e-05,,,,,
0,729,,7.944804383441806e-05,,,,,
0,739,,7.965159602463245e-05,,,,,
0,749,,8.149245695676655e-05,,,,,
0,759,,8.127172623062506e-05,,,,,
0,769,,7.550644659204409e-05,,,,,
0,779,,8.26378891360946e-05,,,,,
0,789,,7.655758963664994e-05,,,,,
0,799,,7.38958697183989e-05,,,,,
0,809,,8.339151099789888e-05,,,,,
0,819,,8.072760101640597e-05,,,,,
0,829,,7.82547504059039e-05,,,,,
0,839,,7.809918315615505e-05,,,,,
0,849,,7.176686631282791e-05,,,,,
0,859,,8.27904004836455e-05,,,,,
0,869,,7.09820888005197e-05,,,,,
0,879,,7.912132423371077e-05,,,,,
0,889,,7.477032340830192e-05,,,,,
0,899,,8.168326166924089e-05,,,,,
0,909,,7.262435974553227e-05,,,,,
0,919,,7.537424971815199e-05,,,,,
0,929,,8.180526492651552e-05,,,,,
0,939,,7.756213017273694e-05,,,,,
0,949,,8.089496986940503e-05,,,,,
0,959,,7.781425665598363e-05,,,,,
0,969,,7.40693139960058e-05,,,,,
0,979,,8.327756950166076e-05,,,,,
0,989,,7.436942541971803e-05,,,,,
0,999,,8.101604180410504e-05,,,,,
0,1009,,7.704951713094488e-05,,,,,
